run_accession	sample_accession	country	isolation_source	collection_date	fastq_ftp	submitted_ftp	base_count
SRR25120555	SAMN36289111	Germany	ear	2012	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/055/SRR25120555/SRR25120555_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/055/SRR25120555/SRR25120555_2.fastq.gz		529168594
SRR25120563	SAMN36289121	Germany	ear	2013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/063/SRR25120563/SRR25120563_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/063/SRR25120563/SRR25120563_2.fastq.gz		472852795
SRR25120565	SAMN36289119	Germany	ear	2013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/065/SRR25120565/SRR25120565_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/065/SRR25120565/SRR25120565_2.fastq.gz		477367025
SRR25120478	SAMN36289118	Germany	ear	2013	ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/078/SRR25120478/SRR25120478_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR251/078/SRR25120478/SRR25120478_2.fastq.gz		940382064
SRR32625472	SAMN47280249	Democratic Republic of the Congo	stool	2023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/072/SRR32625472/SRR32625472_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/072/SRR32625472/SRR32625472_2.fastq.gz		422499889
SRR32625473	SAMN47280248	Democratic Republic of the Congo	stool	2023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/073/SRR32625473/SRR32625473_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/073/SRR32625473/SRR32625473_2.fastq.gz		422499967
SRR32625480	SAMN47280242	Democratic Republic of the Congo	stool	2023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/080/SRR32625480/SRR32625480_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/080/SRR32625480/SRR32625480_2.fastq.gz		2999217877
SRR32625491	SAMN47280232	Democratic Republic of the Congo	stool	2023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/091/SRR32625491/SRR32625491_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/091/SRR32625491/SRR32625491_2.fastq.gz		422499891
SRR32625492	SAMN47280231	Democratic Republic of the Congo	stool	2023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/092/SRR32625492/SRR32625492_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/092/SRR32625492/SRR32625492_2.fastq.gz		422500065
SRR32625525	SAMN47280202	Democratic Republic of the Congo	stool	2023	ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/025/SRR32625525/SRR32625525_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR326/025/SRR32625525/SRR32625525_2.fastq.gz		422500182
